Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37584983,Harbor Me,Jacqueline Woodson,"Woodson, Jacqueline",,"=""0399252525""","=""9780399252525""",3,4.27,Nancy Paulsen Books,Hardcover,192,2018,2018,2019/02/15,2019/02/12,,,read,,,,1,,,0,,,,,
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""""","=""""",0,4.07,Portfolio,Kindle Edition,302,2019,2019,,2019/02/09,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
37504654,The Masterpiece,Fiona  Davis,"Davis, Fiona",,"=""1524742953""","=""9781524742959""",4,3.73,Dutton,Hardcover,368,2018,2018,2019/02/08,2019/01/17,,,read,,,,1,,,0,,,,,
32969150,Stay with Me,Ayọ̀bámi Adébáyọ̀,"Adébáyọ̀, Ayọ̀bámi",,"=""0451494601""","=""9780451494603""",4,4.03,Knopf Publishing Group,Hardcover,260,2017,2017,2019/02/07,2019/02/02,,,read,,,,1,,,0,,,,,
35493809,Magpie Murders,Anthony Horowitz,"Horowitz, Anthony","Samantha Bond, Allan Corduner","=""""","=""""",3,3.93,Harper Audio,Audible Audio,16,2017,2016,2019/01/29,2019/01/15,audiobook,audiobook (#114),read,,,,1,,,0,,,,,
32497607,The Hate U Give,Angie Thomas,"Thomas, Angie",Bahni Turpin,"=""""","=""""",4,4.53,HarperCollins,Audiobook,,2017,2017,2018/08/08,2018/08/05,,,read,,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.20,Grand Central Publishing,Hardcover,304,2016,2016,,2019/01/15,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
39723645,A Place for Us,Fatima Farheen Mirza,"Mirza, Fatima Farheen","Deepti Gupta, Sunil Malhotra","=""0525633472""","=""9780525633471""",3,4.15,Random House Audio,Audiobook,17,2018,2018,2019/01/15,2018/12/26,audiobook,audiobook (#113),read,3.5 stars,,,1,,,0,,,,,
39218350,"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie  Land,"Land, Stephanie",Barbara Ehrenreich,"=""0316505110""","=""9780316505116""",0,3.73,Hachette Books,Hardcover,270,2019,2019,,2019/01/08,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
35099718,So You Want to Talk About Race,Ijeoma Oluo,"Oluo, Ijeoma",,"=""1580056776""","=""9781580056779""",0,4.52,Seal Press,Hardcover,248,2018,2018,,2019/01/03,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
36577586,"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,"Hoang, Helen",,"=""0451490800""","=""9780451490803""",3,3.91,Berkley,Paperback,336,2018,2018,2018/12/31,2018/12/05,,,read,,,,1,,,0,,,,,
35202640,"All We Knew (The Cabots, #2)",Jamie Beck,"Beck, Jamie",,"=""""","=""""",3,4.23,Montlake Romance,Kindle Edition,331,2018,2018,2018/12/27,2017/09/30,,,read,,,,1,,,0,,,,,
43161405,New Family Values,Andrew Solomon,"Solomon, Andrew",,"=""""","=""""",0,4.05,Audible Studios ,Audiobook,6,2018,2018,2018/12/26,2018/12/19,audiobook,audiobook (#112),read,,,,1,,,0,,,,,
35491137,Hunger: A Memoir of (My) Body,Roxane Gay,"Gay, Roxane",,"=""""","=""""",3,4.20,Harper Audio,Audible Audio,6,2017,2017,2018/01/21,2018/01/18,audiobook,audiobook (#80),read,"Roxane Gay explores the many paradoxes of her life in this memoir.  The most common of these is her simultaneous desire to not be seen, but at the same time, to be seen.  She is also spends a lot of time discussing her struggle to reconcile her parents' image of her as a ""good"" girl with who she was forced to become as a result of being raped at 12.  I am also glad that she acknowledged how privileged she was compared to others: attending one of the best high schools in the country, having parents who were always there despite not knowing until recently the reasons behind her extreme behavior, to name just two.  One of my favorite quotes from the book (transcribed from the audio version) was: <i>""We talked about the goings on of the world, we talked about we wanted for ourselves. I took it for granted that this is what all families did. Come together and become an island unto themselves, the kitchen table the sun around which we revolved"". </i>(Chapter 14)",,,1,,,0,,,,,
42780277,One Day in December,Josie Silver,"Silver, Josie","Eleanor Tomlinson, Charlie Anson","=""""","=""""",4,4.01,Random House Audio,Audible Audio,10,2018,2018,2018/12/19,2018/12/12,audiobook,audiobook (#111),read,3.5 stars,,,1,,,0,,,,,
40786511,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",5,4.60,Random House Audio,Audible Audio,464,2018,2018,2018/12/12,2018/12/05,audiobook,audiobook (#110),read,,,,1,,,0,,,,,
33406322,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",Roger Wayne,"=""""","=""""",2,3.97,HarperAudio,Audible Audio,,2016,2016,2018/12/05,2018/11/25,audiobook,audiobook (#109),read,,,,1,,,0,,,,,
22405720,How to Cook Everything Fast: A Better Way to Cook Great Food,Mark Bittman,"Bittman, Mark",,"=""""","=""""",0,4.03,Houghton Mifflin Harcourt,Kindle Edition,1061,2014,2013,,2018/11/03,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
40787340,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"Shaffer, Mary Ann",Annie Barrows,"=""""","=""""",0,4.16,The Dial Press,Kindle Edition,322,2018,2008,,2018/09/18,"audiobook, to-read","audiobook (#107), to-read (#41)",to-read,,,,0,,,0,,,,,
36374451,When Life Gives You Lululemons,Lauren Weisberger,"Weisberger, Lauren",,"=""1508251770""","=""9781508251774""",3,3.73,Simon  Schuster Audio,Audiobook,,2018,2018,2018/11/15,2018/11/15,audiobook,audiobook (#108),read,,,,1,,,0,,,,,
33118312,Refugee,Alan Gratz,"Gratz, Alan",,"=""""","=""""",0,4.51,Scholastic ,Kindle Edition,352,2017,2017,,2018/11/12,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
30840370,Hidden Figures,Margot Lee Shetterly,"Shetterly, Margot Lee",,"=""0062662376""","=""9780062662378""",0,3.79,HarperCollins,Paperback,240,2016,2016,,2018/10/06,"audiobook, dnf","audiobook (#105), dnf (#1)",dnf,,,,0,,,0,,,,,
41035889,Where the Crawdads Sing,Delia Owens,"Owens, Delia",Cassandra Campbell,"=""""","=""""",4,4.52,Penguin Audio,Audible Audio,13,2018,2018,2018/11/05,2018/11/05,audiobook,audiobook (#106),read,,,,1,,,0,,,,,
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",4,4.26,Grand Central Publishing,Kindle Edition,496,2017,2017,2018/10/29,2018/10/23,,,read,,,,1,,,0,,,,,
